SEXE,EDAT,DATA,ESDEVENIMENT,PAUTA,RECOMPTE
Dona,0 a 9,12/12/2021,Cas,No iniciada,49
Home,0 a 9,12/12/2021,Cas,No iniciada,51
Dona,10 a 19,12/12/2021,Cas,No iniciada,42
Dona,10 a 19,12/12/2021,Cas,Completa,29
Dona,10 a 19,12/12/2021,Hospitalització,Completa,1
Home,10 a 19,12/12/2021,Cas,No iniciada,42
Home,10 a 19,12/12/2021,Cas,Completa,21
Dona,20 a 29,12/12/2021,Cas,Completa,58
Dona,20 a 29,12/12/2021,Cas,No iniciada,16
Dona,20 a 29,12/12/2021,Hospitalització,No iniciada,1
Home,20 a 29,12/12/2021,Cas,Parcial,1
Home,20 a 29,12/12/2021,Cas,No iniciada,17
Home,20 a 29,12/12/2021,Cas,Completa,34
Dona,30 a 39,12/12/2021,Hospitalització,No iniciada,2
Dona,30 a 39,12/12/2021,Hospitalització,Completa,1
Dona,30 a 39,12/12/2021,Cas,Completa,92
Dona,30 a 39,12/12/2021,Cas,Parcial,5
Dona,30 a 39,12/12/2021,Cas,No iniciada,20
Home,30 a 39,12/12/2021,Hospitalització,No iniciada,1
Home,30 a 39,12/12/2021,Cas,No iniciada,18
Home,30 a 39,12/12/2021,Cas,Completa,42
Dona,40 a 49,12/12/2021,Hospitalització,Parcial,1
Dona,40 a 49,12/12/2021,Crítics,Completa,1
Dona,40 a 49,12/12/2021,Crítics,No iniciada,1
Dona,40 a 49,12/12/2021,Hospitalització,Completa,1
Dona,40 a 49,12/12/2021,Cas,Completa,131
Dona,40 a 49,12/12/2021,Cas,No iniciada,29
Dona,40 a 49,12/12/2021,Cas,Parcial,1
Home,40 a 49,12/12/2021,Cas,No iniciada,23
Home,40 a 49,12/12/2021,Cas,Completa,110
Home,40 a 49,12/12/2021,Crítics,No iniciada,1
Home,40 a 49,12/12/2021,Hospitalització,Completa,3
Home,40 a 49,12/12/2021,Hospitalització,No iniciada,1
Home,40 a 49,12/12/2021,Cas,Parcial,2
Dona,50 a 59,12/12/2021,Cas,Parcial,1
Dona,50 a 59,12/12/2021,Cas,Completa,94
Dona,50 a 59,12/12/2021,Crítics,No iniciada,1
Dona,50 a 59,12/12/2021,Hospitalització,No iniciada,2
Dona,50 a 59,12/12/2021,Cas,No iniciada,9
Home,50 a 59,12/12/2021,Cas,Completa,63
Home,50 a 59,12/12/2021,Hospitalització,No iniciada,2
Home,50 a 59,12/12/2021,Hospitalització,Completa,2
Home,50 a 59,12/12/2021,Cas,No iniciada,8
Dona,60 a 69,12/12/2021,Crítics,No iniciada,1
Dona,60 a 69,12/12/2021,Cas,Completa,62
Dona,60 a 69,12/12/2021,Hospitalització,Completa,6
Dona,60 a 69,12/12/2021,Cas,No iniciada,3
Dona,60 a 69,12/12/2021,Crítics,Completa,1
Dona,60 a 69,12/12/2021,Hospitalització,No iniciada,1
Home,60 a 69,12/12/2021,Cas,No iniciada,6
Home,60 a 69,12/12/2021,Crítics,Completa,3
Home,60 a 69,12/12/2021,Crítics,No iniciada,2
Home,60 a 69,12/12/2021,Hospitalització,No iniciada,3
Home,60 a 69,12/12/2021,Hospitalització,Completa,16
Home,60 a 69,12/12/2021,Cas,Completa,62
Dona,70 a 79,12/12/2021,Cas,No iniciada,4
Dona,70 a 79,12/12/2021,Hospitalització,Completa,4
Dona,70 a 79,12/12/2021,Cas,Completa,19
Home,70 a 79,12/12/2021,Cas,Completa,18
Home,70 a 79,12/12/2021,Hospitalització,No iniciada,2
Home,70 a 79,12/12/2021,Crítics,Completa,3
Home,70 a 79,12/12/2021,Hospitalització,Completa,8
Home,70 a 79,12/12/2021,Cas,No iniciada,2
Dona,80 o més,12/12/2021,Cas,Completa,7
Dona,80 o més,12/12/2021,Cas,No iniciada,1
Dona,80 o més,12/12/2021,Hospitalització,Completa,2
Home,80 o més,12/12/2021,Hospitalització,Completa,5
Home,80 o més,12/12/2021,Cas,Completa,6
Home,80 o més,12/12/2021,Cas,No iniciada,1
Home,80 o més,12/12/2021,Defunció,Completa,1
No classificat,No classificat,12/12/2021,Cas,Completa,3
No classificat,No classificat,12/12/2021,Cas,No iniciada,11
Dona,0 a 9,11/12/2021,Cas,No iniciada,76
Home,0 a 9,11/12/2021,Cas,No iniciada,81
Dona,10 a 19,11/12/2021,Cas,No iniciada,54
Dona,10 a 19,11/12/2021,Cas,Parcial,1
Dona,10 a 19,11/12/2021,Cas,Completa,25
Home,10 a 19,11/12/2021,Cas,Completa,21
Home,10 a 19,11/12/2021,Cas,Parcial,1
Home,10 a 19,11/12/2021,Cas,No iniciada,49
Dona,20 a 29,11/12/2021,Cas,Parcial,1
Dona,20 a 29,11/12/2021,Cas,Completa,89
Dona,20 a 29,11/12/2021,Cas,No iniciada,22
Home,20 a 29,11/12/2021,Cas,Completa,77
Home,20 a 29,11/12/2021,Cas,Parcial,1
Home,20 a 29,11/12/2021,Cas,No iniciada,27
Dona,30 a 39,11/12/2021,Cas,No iniciada,24
Dona,30 a 39,11/12/2021,Hospitalització,No iniciada,3
Dona,30 a 39,11/12/2021,Cas,Parcial,2
Dona,30 a 39,11/12/2021,Cas,Completa,137
Dona,30 a 39,11/12/2021,Hospitalització,Completa,1
Dona,30 a 39,11/12/2021,Crítics,No iniciada,1
Home,30 a 39,11/12/2021,Cas,Completa,88
Home,30 a 39,11/12/2021,Cas,No iniciada,26
Home,30 a 39,11/12/2021,Cas,Parcial,2
Home,30 a 39,11/12/2021,Hospitalització,No iniciada,1
Dona,40 a 49,11/12/2021,Cas,Parcial,2
Dona,40 a 49,11/12/2021,Hospitalització,Completa,1
Dona,40 a 49,11/12/2021,Cas,No iniciada,31
Dona,40 a 49,11/12/2021,Cas,Completa,156
Home,40 a 49,11/12/2021,Hospitalització,No iniciada,3
Home,40 a 49,11/12/2021,Cas,Parcial,3
Home,40 a 49,11/12/2021,Cas,Completa,154
Home,40 a 49,11/12/2021,Cas,No iniciada,29
Dona,50 a 59,11/12/2021,Crítics,No iniciada,1
Dona,50 a 59,11/12/2021,Cas,No iniciada,14
Dona,50 a 59,11/12/2021,Hospitalització,Completa,1
Dona,50 a 59,11/12/2021,Hospitalització,No iniciada,1
Dona,50 a 59,11/12/2021,Cas,Completa,124
Home,50 a 59,11/12/2021,Crítics,No iniciada,2
Home,50 a 59,11/12/2021,Cas,Parcial,2
Home,50 a 59,11/12/2021,Cas,Completa,116
Home,50 a 59,11/12/2021,Hospitalització,No iniciada,6
Home,50 a 59,11/12/2021,Hospitalització,Completa,5
Home,50 a 59,11/12/2021,Cas,No iniciada,13
Dona,60 a 69,11/12/2021,Cas,Parcial,2
Dona,60 a 69,11/12/2021,Crítics,Completa,2
Dona,60 a 69,11/12/2021,Cas,Completa,100
Dona,60 a 69,11/12/2021,Hospitalització,Completa,10
Dona,60 a 69,11/12/2021,Hospitalització,No iniciada,4
Dona,60 a 69,11/12/2021,Cas,No iniciada,14
Home,60 a 69,11/12/2021,Cas,Parcial,4
Home,60 a 69,11/12/2021,Cas,Completa,92
Home,60 a 69,11/12/2021,Hospitalització,Parcial,1
Home,60 a 69,11/12/2021,Hospitalització,No iniciada,6
Home,60 a 69,11/12/2021,Cas,No iniciada,8
Home,60 a 69,11/12/2021,Hospitalització,Completa,11
Home,60 a 69,11/12/2021,Crítics,Completa,3
Home,60 a 69,11/12/2021,Crítics,No iniciada,1
Dona,70 a 79,11/12/2021,Cas,Completa,46
Dona,70 a 79,11/12/2021,Crítics,Completa,1
Dona,70 a 79,11/12/2021,Cas,No iniciada,5
Dona,70 a 79,11/12/2021,Hospitalització,Completa,4
Dona,70 a 79,11/12/2021,Hospitalització,No iniciada,2
Home,70 a 79,11/12/2021,Cas,Completa,42
Home,70 a 79,11/12/2021,Hospitalització,No iniciada,2
Home,70 a 79,11/12/2021,Cas,No iniciada,6
Home,70 a 79,11/12/2021,Hospitalització,Completa,8
Home,70 a 79,11/12/2021,Crítics,Completa,2
Home,70 a 79,11/12/2021,Hospitalització,Parcial,1
Dona,80 o més,11/12/2021,Hospitalització,No iniciada,1
Dona,80 o més,11/12/2021,Cas,No iniciada,1
Dona,80 o més,11/12/2021,Crítics,Completa,1
Dona,80 o més,11/12/2021,Cas,Completa,18
Dona,80 o més,11/12/2021,Hospitalització,Completa,13
Home,80 o més,11/12/2021,Hospitalització,Completa,4
Home,80 o més,11/12/2021,Hospitalització,Parcial,1
Home,80 o més,11/12/2021,Cas,Completa,11
No classificat,No classificat,11/12/2021,Cas,No iniciada,28
No classificat,No classificat,11/12/2021,Cas,Completa,9
No classificat,No classificat,11/12/2021,Hospitalització,No iniciada,1
Dona,0 a 9,10/12/2021,Cas,No iniciada,286
Home,0 a 9,10/12/2021,Cas,No iniciada,305
Dona,10 a 19,10/12/2021,Cas,Completa,83
Dona,10 a 19,10/12/2021,Hospitalització,No iniciada,1
Dona,10 a 19,10/12/2021,Cas,Parcial,3
Dona,10 a 19,10/12/2021,Cas,No iniciada,139
Home,10 a 19,10/12/2021,Cas,Parcial,2
Home,10 a 19,10/12/2021,Cas,Completa,60
Home,10 a 19,10/12/2021,Cas,No iniciada,173
Dona,20 a 29,10/12/2021,Hospitalització,Completa,1
Dona,20 a 29,10/12/2021,Cas,Parcial,4
Dona,20 a 29,10/12/2021,Cas,Completa,220
Dona,20 a 29,10/12/2021,Cas,No iniciada,49
Home,20 a 29,10/12/2021,Cas,No iniciada,62
Home,20 a 29,10/12/2021,Cas,Completa,156
Home,20 a 29,10/12/2021,Hospitalització,No iniciada,1
Home,20 a 29,10/12/2021,Cas,Parcial,6
Dona,30 a 39,10/12/2021,Cas,Parcial,3
Dona,30 a 39,10/12/2021,Cas,Completa,257
Dona,30 a 39,10/12/2021,Crítics,No iniciada,1
Dona,30 a 39,10/12/2021,Hospitalització,No iniciada,6
Dona,30 a 39,10/12/2021,Hospitalització,Completa,2
Dona,30 a 39,10/12/2021,Cas,No iniciada,69
Home,30 a 39,10/12/2021,Cas,No iniciada,63
Home,30 a 39,10/12/2021,Hospitalització,Completa,3
Home,30 a 39,10/12/2021,Cas,Parcial,6
Home,30 a 39,10/12/2021,Cas,Completa,193
Home,30 a 39,10/12/2021,Hospitalització,No iniciada,1
Dona,40 a 49,10/12/2021,Cas,Completa,393
Dona,40 a 49,10/12/2021,Hospitalització,Completa,1
Dona,40 a 49,10/12/2021,Cas,No iniciada,75
Dona,40 a 49,10/12/2021,Cas,Parcial,7
Dona,40 a 49,10/12/2021,Hospitalització,No iniciada,1
Dona,40 a 49,10/12/2021,Crítics,No iniciada,1
Home,40 a 49,10/12/2021,Hospitalització,Completa,2
Home,40 a 49,10/12/2021,Hospitalització,No iniciada,3
Home,40 a 49,10/12/2021,Crítics,No iniciada,1
Home,40 a 49,10/12/2021,Cas,Completa,359
Home,40 a 49,10/12/2021,Cas,No iniciada,61
Home,40 a 49,10/12/2021,Cas,Parcial,5
Dona,50 a 59,10/12/2021,Hospitalització,No iniciada,4
Dona,50 a 59,10/12/2021,Hospitalització,Completa,4
